arrival_time,packet_size
1678289200613,40
1678289200616,1500
1678289200617,-40
1678289200617,1500
1678289200618,340
1678289200618,-40
1678289200619,1500
1678289200620,1500
1678289200620,-40
1678289200621,722
1678289200621,-40
1678289200622,-40
1678289200623,-40
1678289205310,-812
1678289205370,40
1678289205372,1500
1678289205372,364
1678289205373,1500
1678289205374,-40
1678289205374,-40
1678289205374,1500
1678289205375,-40
1678289205375,-40
1678289205375,1500
1678289205376,235
1678289205377,-40
1678289205377,-40
