arrival_time,packet_size
1673702695095,-184
1673702695102,40
1673702695105,79
1673702695112,-145
1673702695112,-251
1673702695117,-146
1673702695117,-672
1673702695118,-145
1673702695119,-463
1673702695119,-145
1673702695119,-251
1673702695120,40
1673702695124,71
1673702695124,1480
1673702695124,1480
1673702695124,1480
1673702695124,1480
1673702695124,316
1673702695124,1480
1673702695124,1480
1673702695124,1480
1673702695124,965
1673702695124,71
1673702695124,1480
1673702695124,1480
1673702695124,1480
1673702695124,1322
1673702695124,71
1673702695124,1480
1673702695124,1480
1673702695124,1480
1673702695124,1380
1673702695124,71
1673702695124,40
1673702695126,40
1673702695127,-52
1673702695127,-52
1673702695128,-52
1673702695128,-52
1673702695128,-52
1673702695128,-40
1673702695128,-40
1673702695128,-40
1673702695128,-40
1673702695128,-40
1673702695129,-40
1673702695137,1480
1673702695137,1480
1673702695137,1480
1673702695137,956
1673702695137,71
1673702695137,1480
1673702695137,1480
1673702695137,1480
1673702695137,1480
1673702695137,163
1673702695137,71
1673702695139,-40
1673702695139,-40
1673702695140,1480
1673702695140,1480
1673702695140,184
1673702695140,71
1673702695140,1480
1673702695140,1480
1673702695140,1480
1673702695140,492
1673702695140,71
1673702695140,1480
1673702695140,1480
1673702695140,1480
1673702695140,965
1673702695140,71
1673702695140,1480
1673702695140,1480
1673702695140,1480
1673702695140,288
1673702695140,71
1673702695141,-40
1673702695142,1480
1673702695142,1480
1673702695142,849
1673702695142,71
1673702695143,-40
1673702695144,1480
1673702695144,1480
1673702695144,1480
1673702695144,446
1673702695144,71
1673702695145,-40
1673702695146,-40
1673702695146,-40
1673702695157,1480
1673702695157,1480
1673702695157,1480
1673702695157,1304
1673702695157,71
1673702695158,-40
1673702695160,1480
1673702695160,1480
1673702695160,1480
1673702695160,695
1673702695160,71
1673702695162,-40
1673702695175,1480
1673702695175,1480
1673702695175,1480
1673702695175,1480
1673702695175,120
1673702695175,71
1673702695178,-40
1673702695182,-40
1673702695203,1480
1673702695204,1480
1673702695204,1480
1673702695204,462
1673702695204,71
1673702695205,-40
1673702695205,-40
1673702695206,-40
1673702695213,1480
1673702695214,1480
1673702695214,1480
1673702695214,67
1673702695214,71
1673702695215,-40
1673702695215,-40
1673702695238,1480
1673702695238,1480
1673702695238,131
1673702695238,71
1673702695240,-40
1673702695240,-40
1673702695263,1480
1673702695263,1480
1673702695263,321
1673702695263,71
1673702695264,-40
1673702695265,-40
1673702695266,-40
1673702695639,-149
1673702695666,-149
1673702695668,-149
1673702695673,40
1673702695676,1480
1673702695677,1480
1673702695677,1325
1673702695677,71
1673702695679,-40
1673702695679,-40
1673702695679,-40
1673702695679,-40
1673702695701,-150
1673702695704,1480
1673702695704,1480
1673702695704,308
1673702695704,71
1673702695705,1480
1673702695705,1480
1673702695705,1480
1673702695705,390
1673702695705,71
1673702695705,-40
1673702695706,-40
1673702695707,-40
1673702695707,-40
1673702695709,-149
1673702695710,-149
1673702695710,1480
1673702695710,1480
1673702695710,482
1673702695710,71
1673702695716,-40
1673702695719,40
1673702695720,1480
1673702695720,1480
1673702695720,522
1673702695720,71
1673702695721,-149
1673702695721,-40
1673702695721,-258
1673702695721,-150
1673702695728,40
1673702695732,-149
1673702695732,-369
1673702695733,-259
1673702695734,1480
1673702695734,1480
1673702695734,1480
1673702695734,47
1673702695734,71
1673702695736,-40
1673702695739,-150
1673702695739,-367
1673702695740,40
1673702695743,1480
1673702695743,1480
1673702695743,1479
1673702695743,71
1673702695745,1480
1673702695745,347
1673702695745,1480
1673702695745,1480
1673702695745,860
1673702695745,71
1673702695745,1480
1673702695745,312
1673702695745,-40
1673702695745,-40
1673702695747,40
1673702695749,1480
1673702695749,1480
1673702695749,810
1673702695749,71
1673702695749,1480
1673702695749,1480
1673702695749,574
1673702695749,71
1673702695749,1480
1673702695749,1480
1673702695749,1044
1673702695750,71
1673702695750,-40
1673702695752,1480
1673702695752,1480
1673702695752,470
1673702695752,71
1673702695753,-40
1673702695757,-40
1673702695758,1480
1673702695758,1480
1673702695758,1480
1673702695758,160
1673702695758,71
1673702695760,-40
1673702695762,-40
1673702695765,1480
1673702695765,927
1673702695767,-40
1673702695770,1480
1673702695770,1480
1673702695770,485
1673702695770,71
1673702695773,-40
1673702695774,-40
1673702695805,1480
1673702695805,1480
1673702695805,1480
1673702695805,367
1673702695805,71
1673702695806,-40
1673702695809,1480
1673702695809,1480
1673702695809,890
1673702695809,71
1673702695810,-40
1673702695810,-40
1673702695811,1480
1673702695811,1480
1673702695811,1480
1673702695811,593
1673702695811,71
1673702695812,-40
1673702695813,-40
1673702695928,1480
1673702695928,1207
1673702695928,71
1673702695930,-40
1673702708455,-200
