arrival_time,packet_size
1678287850975,-60
1678287850980,60
1678287850981,-40
1678287850982,-557
1678287850988,40
1678287850991,1492
1678287850992,1492
1678287850993,1492
1678287850994,-40
1678287850994,-40
1678287850994,-40
1678287850994,1236
1678287850995,-40
1678287851000,-190
1678287851000,1236
1678287851001,-52
1678287851007,322
1678287851008,-40
1678287851010,-349
1678287851010,-1492
1678287851010,-1492
1678287851010,-1492
1678287851010,-1492
1678287851010,-1492
1678287851011,-1492
1678287851011,-1492
1678287851011,-1492
1678287851011,-1492
1678287851018,40
1678287851019,-1492
1678287851019,-202
1678287851020,40
1678287851023,40
1678287851025,40
1678287851027,40
1678287851029,40
1678287851030,413
1678287851075,-40
1678287851104,-349
1678287851105,-1492
1678287851105,-1492
1678287851105,-1492
1678287851105,-1492
1678287851105,-1492
1678287851121,40
1678287851121,40
1678287851121,40
1678287851123,-769
1678287851131,413
1678287851132,-40
1678287855977,-349
