arrival_time,packet_size
1675782139910,-60
1675782139917,52
1675782139918,-40
1675782139919,-557
1675782139927,40
1675782139927,196
1675782139928,-40
1675782139929,-91
1675782139929,-1480
1675782139938,40
1675782139939,-43
1675782139985,40
1675782140142,1480
1675782140142,1480
1675782140142,52
1675782140142,1480
1675782140142,1480
1675782140142,1285
1675782140142,1480
1675782140142,1480
1675782140142,1285
1675782140143,1480
1675782140144,-40
1675782140145,-40
1675782140145,-40
1675782140145,-40
1675782140149,-40
1675782140153,1480
1675782140153,1480
1675782140153,402
1675782140153,1480
1675782140153,1480
1675782140153,1480
1675782140153,1480
1675782140153,1233
1675782140154,-40
1675782140154,-40
1675782140156,-40
1675782140156,-40
1675782150116,-1436
