arrival_time,packet_size
1675782047019,-147
1675782047025,40
1675782047277,1480
1675782047277,68
1675782047277,1480
1675782047277,998
1675782047279,-40
1675782047279,-40
1675782047279,-40
1675782047279,-40
1675782047732,-1480
1675782047732,-151
1675782047738,40
1675782047975,1480
1675782047975,68
1675782047975,1480
1675782047975,756
1675782047977,-40
1675782047977,-40
1675782047977,-40
1675782047977,-40
1675782048278,-1480
1675782048279,-151
1675782048285,40
1675782048516,1480
1675782048516,68
1675782048516,1480
1675782048516,796
1675782048518,-40
1675782048518,-40
1675782048518,-40
1675782048518,-40
1675782050727,-1419
1675782050740,1479
1675782050742,-40
1675782050769,-1480
1675782050769,-154
1675782050776,40
1675782050789,1480
1675782050789,1480
1675782050789,52
1675782050789,1480
1675782050789,1480
1675782050789,1285
1675782050789,1480
1675782050789,1480
1675782050789,1285
1675782050792,-40
1675782050792,-40
1675782050792,-40
1675782050792,-40
1675782050799,1480
1675782050799,1079
1675782050800,-40
1675782050845,-40
1675782051014,-1437
1675782051028,1480
1675782051028,68
1675782051028,1070
1675782051030,-40
1675782051030,-40
1675782051030,-40
1675782051038,-1437
1675782051062,1480
1675782051062,68
1675782051062,1075
1675782051065,-40
1675782051104,-40
1675782056888,-1480
