arrival_time,packet_size
1673703229994,264
1673703230123,1420
1673703230123,1420
1673703230123,1420
1673703230123,1420
1673703230123,971
1673703230138,1420
1673703230138,1420
1673703230139,1420
1673703230139,1420
1673703230139,971
1673703230144,-348
1673703230154,1420
1673703230155,1420
1673703230165,-92
1673703230189,1420
1673703230189,1420
1673703230189,971
1673703230189,1420
1673703230190,1420
1673703230190,1420
1673703230190,1420
1673703230191,971
1673703230191,1420
1673703230191,1420
1673703230191,1420
1673703230204,1420
1673703230205,971
1673703230205,1420
1673703230208,-380
1673703230232,-124
1673703230249,1420
1673703230250,1420
1673703230254,1420
1673703230254,971
1673703230254,1420
1673703230254,1420
1673703230254,1420
1673703230254,1420
1673703230254,971
1673703230254,1420
1673703230254,1420
1673703230254,1420
1673703230271,-412
1673703230276,1420
1673703230276,971
1673703230276,1420
1673703230276,1420
1673703230293,-156
1673703230317,1420
1673703230317,1420
1673703230317,971
1673703230317,1420
1673703230317,1420
1673703230317,1420
1673703230317,1420
1673703230318,971
1673703230318,1420
1673703230318,1420
1673703230318,1420
1673703230318,1420
1673703230318,971
1673703230334,-444
1673703230334,1420
1673703230335,1420
1673703230335,1420
1673703230335,1420
1673703230335,971
1673703230355,-188
1673703230378,1420
1673703230378,1420
1673703230378,1420
1673703230378,1420
1673703230378,971
1673703230378,1420
1673703230378,1420
1673703230378,1420
1673703230378,1420
1673703230378,971
1673703230378,1420
1673703230378,1420
1673703230379,1420
1673703230379,1420
1673703230394,971
1673703230394,1420
1673703230394,1420
1673703230394,1420
1673703230394,1420
1673703230394,971
1673703230397,-572
1673703230418,-124
1673703230443,1420
1673703230443,1420
1673703230444,1420
1673703230445,1420
1673703230445,971
1673703230445,1420
1673703230445,1420
1673703230445,1420
1673703230445,1420
1673703230445,971
1673703230446,1420
1673703230446,1420
1673703230446,1420
1673703230446,1420
1673703230446,971
1673703230446,1420
1673703230446,1420
1673703230446,1420
1673703230460,1420
1673703230460,971
1673703230460,1420
1673703230460,1420
1673703230462,-604
1673703230484,-156
1673703230514,1420
1673703230514,1420
1673703230514,971
1673703230514,1420
1673703230514,1420
1673703230514,1420
1673703230514,1420
1673703230514,971
1673703230514,1420
1673703230514,1420
1673703230514,1420
1673703230515,1420
1673703230515,971
1673703230515,1420
1673703230515,1420
1673703230515,1420
1673703230515,1420
1673703230515,971
1673703230516,1420
1673703230526,-636
1673703230532,1420
1673703230532,1420
1673703230532,1420
1673703230532,971
1673703230532,1420
1673703230547,-188
1673703230567,1420
1673703230567,1420
1673703230567,1420
1673703230567,971
1673703230567,1420
1673703230567,1420
1673703230567,1420
1673703230567,1420
1673703230567,971
1673703230567,1420
1673703230567,1420
1673703230569,1420
1673703230569,1420
1673703230569,971
1673703230569,1420
1673703230569,1420
1673703230569,1420
1673703230569,1420
1673703230569,971
1673703230585,1420
1673703230585,1420
1673703230585,1420
1673703230585,1420
1673703230585,971
1673703230589,-764
1673703230610,-60
1673703230637,1420
1673703230638,1420
1673703230638,1420
1673703230638,1420
1673703230638,971
1673703230638,1420
1673703230638,1420
1673703230638,1420
1673703230639,1420
1673703230639,971
1673703230639,1420
1673703230639,1420
1673703230639,1420
1673703230639,1420
1673703230639,971
1673703230652,-508
1673703230659,1420
1673703230659,1420
1673703230659,1420
1673703230660,1420
1673703230660,971
1673703230674,-188
1673703230676,1420
1673703230676,1420
1673703230676,1420
1673703230676,1420
1673703230694,-156
1673703230709,971
1673703230709,1420
1673703230709,1420
1673703230709,1420
1673703230710,1420
1673703230710,971
1673703230715,-220
1673703230728,1420
1673703230728,1420
1673703230728,1420
1673703230728,1420
1673703230729,971
1673703230737,-188
1673703230748,1420
1673703230748,1420
1673703230748,1420
1673703230748,1420
1673703230748,971
1673703230757,-188
1673703230771,1420
1673703230771,1420
1673703230772,1420
1673703230772,1420
1673703230772,1420
1673703230772,882
1673703230778,-220
1673703230789,1420
1673703230789,1420
1673703230789,1420
1673703230789,1420
1673703230789,1420
1673703230789,882
1673703230799,-220
1673703230810,1420
1673703230811,1420
1673703230811,1420
1673703230811,1420
1673703230812,1420
1673703230812,882
1673703230820,-220
1673703230826,1420
1673703230827,1420
1673703230827,1420
1673703230827,1420
1673703230827,1420
1673703230827,882
1673703230843,-220
1673703230847,1420
1673703230847,1420
1673703230847,1420
1673703230847,1420
1673703230847,1420
1673703230847,882
1673703230862,1420
1673703230863,-220
1673703230863,1420
1673703230864,1420
1673703230864,1420
1673703230864,1420
1673703230864,882
1673703230880,1420
1673703230880,1420
1673703230880,1420
1673703230880,1420
1673703230880,1420
1673703230880,882
1673703230884,-412
1673703230896,1420
1673703230897,1420
1673703230897,1420
1673703230897,1420
1673703230898,1420
1673703230898,882
1673703230906,-220
1673703230914,1420
1673703230914,1420
1673703230915,1420
1673703230915,1420
1673703230915,1420
1673703230915,882
1673703230926,-220
1673703230929,1420
1673703230929,1420
1673703230930,1420
1673703230930,1420
1673703230930,1420
1673703230930,882
1673703230948,-220
1673703230966,1420
1673703230967,1420
1673703230967,1420
1673703230968,1420
1673703230968,1420
1673703230968,882
1673703230991,-220
1673703231021,1420
1673703231022,1420
1673703231022,1420
1673703231022,1420
1673703231023,1420
1673703231023,882
1673703231033,-220
1673703231038,1420
1673703231038,1420
1673703231038,1420
1673703231039,1420
1673703231039,1420
1673703231039,882
1673703231054,1420
1673703231054,1420
1673703231054,-220
1673703231055,1420
1673703231055,1420
1673703231055,1012
1673703231077,-188
1673703232294,-128
1673703232326,72
1673703234520,-428
1673703234563,264
1673703234711,1420
1673703234711,1420
1673703234711,1420
1673703234711,1420
1673703234711,1420
1673703234711,882
1673703234726,1420
1673703234726,1420
1673703234726,1420
1673703234726,1420
1673703234726,1420
1673703234726,882
1673703234734,-412
1673703234775,1420
1673703234776,1420
1673703234776,1420
1673703234776,1420
1673703234777,1420
1673703234778,882
1673703234778,1420
1673703234778,1420
1673703234778,1420
1673703234778,1420
1673703234779,1420
1673703234779,882
1673703234779,1420
1673703234797,-444
1673703234832,1420
1673703234832,1420
1673703234832,1420
1673703234832,1420
1673703234832,882
1673703234832,1420
1673703234834,1420
1673703234834,1420
1673703234834,1420
1673703234834,1420
1673703234834,882
1673703234834,1420
1673703234834,1420
1673703234834,1420
1673703234840,-476
1673703234894,1420
1673703234894,1420
1673703234894,882
1673703234894,1420
1673703234894,1420
1673703234895,1420
1673703234895,1420
1673703234895,1420
1673703234895,882
1673703234895,1420
1673703234895,1420
1673703234895,1420
1673703234895,1420
1673703234895,1420
1673703234895,882
1673703234903,-508
1673703234943,1420
1673703234944,1420
1673703234944,1420
1673703234944,1420
1673703234944,1420
1673703234946,882
1673703234946,1420
1673703234946,1420
1673703234946,1420
1673703234946,1420
1673703234946,1420
1673703234946,882
1673703234946,1420
1673703234946,1420
1673703234947,1420
1673703234947,1420
1673703234966,-540
1673703235011,1420
