arrival_time,packet_size
1673708279851,-137
1673708279856,40
1673708279861,-138
1673708279871,-137
1673708279876,40
1673708279884,-137
1673708279892,-137
1673708279896,40
1673708279897,513
1673708279897,1440
1673708279897,261
1673708279899,-40
1673708279900,646
1673708279900,1440
1673708279900,323
1673708279902,-40
1673708279902,602
1673708279902,1018
1673708279903,-40
1673708279907,-137
1673708279910,538
1673708279910,1440
1673708279910,195
1673708279912,-40
1673708279913,-137
1673708279918,40
1673708279932,-137
1673708279946,-137
1673708279948,527
1673708279963,-137
1673708279968,40
1673708279969,537
1673708279969,1440
1673708279969,555
1673708279970,-40
1673708279978,-137
1673708279983,656
1673708279983,1440
1673708279983,449
1673708279984,-40
1673708279985,602
1673708279985,1440
1673708279985,199
1673708279986,-40
1673708279989,-137
1673708279994,534
1673708279994,1382
1673708279995,-40
1673708279997,531
1673708279997,1216
1673708279998,-40
1673708280003,504
1673708280003,1440
1673708280003,367
1673708280005,-40
1673708280014,-137
1673708280019,641
1673708280019,1440
1673708280019,469
1673708280020,-40
1673708280025,1440
1673708280025,163
1673708280026,603
1673708280026,1440
1673708280026,482
1673708280026,-40
1673708280027,-40
1673708280040,-137
1673708280055,535
1673708280055,1440
1673708280055,539
1673708280056,-40
1673708280076,531
1673708280077,-40
1673708280083,-137
1673708280101,1440
1673708280101,413
1673708280102,-40
1673708280110,499
1673708280110,1440
1673708280110,478
1673708280111,-40
1673708280154,-40
1673708280899,-138
1673708280905,676
1673708280905,1440
1673708280905,656
1673708280906,-40
1673708280907,-40
1673708280907,-40
1673708280911,-137
1673708280920,609
1673708280922,1440
1673708280923,233
1673708280924,-40
1673708280939,-137
1673708280946,525
1673708280947,1440
1673708280947,657
1673708280949,-40
1673708280963,-137
1673708280969,-137
1673708280971,532
1673708280972,1440
1673708280972,659
1673708280973,-40
1673708280975,513
1673708280975,1440
1673708280976,684
1673708280977,-40
1673708280979,-230
1673708280988,614
1673708280988,1440
1673708280989,386
1673708280990,-40
1673708280999,-137
1673708281006,622
1673708281006,1440
1673708281006,567
1673708281008,-40
1673708281016,-137
1673708281023,520
1673708281027,-137
1673708281036,1396
1673708281039,535
1673708281040,1440
1673708281040,575
1673708281041,-40
1673708281042,-40
1673708281044,-137
1673708281049,509
1673708281049,1440
1673708281049,587
1673708281050,-40
1673708281071,-176
1673708281077,-137
1673708281078,627
1673708281079,1440
1673708281079,779
1673708281080,-40
1673708281082,603
1673708281082,1440
1673708281082,411
1673708281083,-40
1673708281119,-137
1673708281126,552
1673708281126,1440
1673708281126,754
1673708281129,-40
1673708281171,-40
1673708326619,-270
