arrival_time,packet_size
1675779971996,-60
1675779972041,60
1675779972044,-40
1675779972044,-557
1675779972090,40
1675779972091,196
1675779972092,-40
1675779972094,-91
1675779972095,-1480
1675779972095,-1480
1675779972095,-1480
1675779972095,-1480
1675779972096,-1480
1675779972096,-1480
1675779972096,-1480
1675779972096,-1480
1675779972096,-1480
1675779972143,40
1675779972143,40
1675779972144,40
1675779972144,40
1675779972145,-1480
1675779972145,-1480
1675779972145,-1480
1675779972145,-1101
1675779972184,40
1675779972192,40
1675779972192,40
1675779972193,40
1675779972204,464
1675779972247,-40
1675780041326,-1480
