arrival_time,packet_size
1673701860509,-140
1673701860560,72
1673701860562,-100
1673701860611,180
1673701860614,-116
1673701860661,72
1673701862841,-432
1673701862889,264
1673701862920,1420
1673701862920,1200
1673701862923,-92
1673701862936,1420
1673701862936,1200
1673701862944,-92
1673701862951,1420
1673701862951,1200
1673701862964,-92
1673701862968,1420
1673701862968,1200
1673701862983,1420
1673701862983,1200
1673701862985,-92
1673701863000,1420
1673701863000,1200
1673701863005,-156
1673701863013,1420
1673701863013,1200
1673701863022,1420
1673701863022,1200
1673701863026,-92
1673701863040,1420
1673701863040,1200
1673701863047,-156
1673701863051,1420
1673701863051,1200
1673701863068,1420
1673701863069,-92
1673701863069,1420
1673701863069,341
1673701863082,1420
1673701863082,1420
1673701863082,341
1673701863089,-220
1673701863094,1420
1673701863094,1420
1673701863094,341
1673701863109,-124
1673701863112,1420
1673701863112,1420
1673701863112,341
1673701863129,1420
1673701863129,1136
1673701863130,-124
1673701863151,-92
1673701863517,-432
1673701863565,264
1673701863605,1420
1673701863605,1420
1673701863605,341
1673701863614,-124
1673701863627,1420
1673701863627,1420
1673701863627,341
1673701863637,-124
1673701863646,1420
1673701863646,1420
1673701863646,341
1673701863660,-124
1673701863661,1420
1673701863661,1420
1673701863661,341
1673701863680,1420
1673701863680,1420
1673701863680,341
1673701863681,-124
1673701863697,1420
1673701863697,1420
1673701863697,341
1673701863703,-220
1673701863711,1420
1673701863711,1420
1673701863711,341
1673701863723,-124
1673701863728,1420
1673701863728,1420
1673701863728,341
1673701863744,-124
1673701863748,1420
1673701863748,1420
1673701863748,341
1673701863762,1420
1673701863762,1420
1673701863762,341
1673701863765,-124
1673701863780,1420
1673701863780,1420
1673701863780,341
1673701863786,-220
1673701863796,1420
1673701863796,1420
1673701863796,341
1673701863807,-124
1673701863811,768
1673701863829,-60
1673701869205,-128
