arrival_time,packet_size
1675780457376,40
1675780457404,556
1675780457404,1480
1675780457404,1480
1675780457405,1480
1675780457405,156
1675780457407,-40
1675780457407,-40
1675780457407,-40
1675780457407,-40
1675780457407,-40
1675780459204,-306
1675780459209,532
1675780459210,1480
1675780459210,1480
1675780459210,1480
1675780459210,100
1675780459210,1480
1675780459210,1480
1675780459210,1480
1675780459210,1480
1675780459210,1480
1675780459210,654
1675780459211,-40
1675780459212,-40
1675780459212,-40
1675780459212,-40
1675780459212,-40
1675780459212,-40
1675780459213,-40
1675780459213,-40
1675780459213,-40
1675780459213,-40
1675780459213,-40
1675780459215,41
1675780459217,-52
1675780459755,-298
1675780459762,494
1675780459762,580
1675780459763,-40
1675780459763,-40
1675780459767,41
1675780459770,-52
1675780470028,-304
