arrival_time,packet_size
1673708482814,84
1673708482815,-40
1673708482820,-1078
1673708482858,84
1673708482903,-40
1673708483367,-1062
1673708483405,84
1673708483406,-40
1673708483410,-507
1673708483448,84
1673708483452,-498
1673708483491,84
1673708483502,-499
1673708483542,84
1673708483587,-40
1673708484240,-502
1673708484278,84
1673708484280,-40
1673708485369,-499
1673708485408,84
1673708485410,-40
1673708485871,-499
1673708485909,84
1673708485912,-40
1673708486602,-499
1673708486640,84
1673708486641,-40
1673708509605,-500
