arrival_time,packet_size
1675779437428,82
1675779437435,261
1675779437437,-40
1675779437442,-940
1675779437476,82
1675779437484,261
1675779437486,-40
1675779438425,-1391
1675779438458,82
1675779438465,150
1675779438466,-40
1675779438477,-552
1675779438510,82
1675779438518,149
1675779438526,-40
1675779438705,-752
1675779438739,82
1675779438744,151
1675779438746,-40
1675779438846,-560
1675779438880,82
1675779438886,150
1675779438891,-40
1675779439031,-543
1675779439066,82
1675779439070,151
1675779439072,-40
1675779439291,-610
1675779439326,82
1675779439334,151
1675779439342,-40
1675779439512,-608
1675779439547,82
1675779439555,150
1675779439557,-40
1675779439669,-562
1675779439705,82
1675779439712,149
1675779439716,-40
1675779439845,-544
1675779439880,82
1675779439887,150
1675779439888,-40
1675779440022,-552
1675779440056,82
1675779440063,150
1675779440064,-40
1675779440201,-551
1675779440235,82
1675779440254,151
1675779440256,-40
1675779440379,-550
1675779440413,82
1675779440419,150
1675779440421,-40
1675779440558,-547
1675779440592,82
1675779440598,149
1675779440600,-40
1675779440742,-552
1675779440776,82
1675779440781,150
1675779440784,-40
1675779440913,-557
1675779440948,82
1675779440956,149
1675779440958,-40
1675779441088,-560
1675779441122,82
1675779441130,151
1675779441133,-40
1675779441273,-548
1675779441306,82
1675779441315,151
1675779441316,-40
1675779441446,-554
1675779441480,82
1675779441489,150
1675779441491,-40
1675779441624,-555
1675779441658,82
1675779441665,150
1675779441667,-40
1675779441803,-549
1675779441837,82
1675779441845,150
1675779441848,-40
1675779441982,-545
1675779442016,82
1675779442025,150
1675779442027,-40
1675779442156,-552
1675779442191,82
1675779442200,151
1675779442203,-40
1675779442332,-551
1675779442367,82
1675779442375,150
1675779442376,-40
1675779442515,-544
