arrival_time,packet_size
1675779766824,82
1675779766826,-40
1675779766830,150
1675779766832,-40
1675779766968,-547
1675779767002,82
1675779767004,-40
1675779767008,151
1675779767010,-40
1675779767147,-556
1675779767181,82
1675779767182,-40
1675779767187,149
1675779767191,-40
1675779767323,-545
1675779767356,82
1675779767359,-40
1675779767361,151
1675779767362,-40
1675779767513,-549
1675779767549,82
1675779767551,-40
1675779767557,150
1675779767558,-40
1675779767686,-549
1675779767720,82
1675779767722,-40
1675779767723,150
1675779767725,-40
1675779767990,-556
1675779768025,82
1675779768026,-40
1675779768032,150
1675779768034,-40
1675779768085,-589
1675779768119,82
1675779768121,-40
1675779768126,150
1675779768127,-40
1675779768268,-551
1675779768301,82
1675779768303,-40
1675779768307,150
1675779768310,-40
1675779768446,-544
1675779768481,82
1675779768482,-40
1675779768485,150
1675779768487,-40
1675779768619,-548
1675779768653,82
1675779768655,-40
1675779768661,150
1675779768662,-40
1675779768794,-548
1675779768828,82
1675779768833,-40
1675779768837,150
1675779768839,-40
1675779768976,-542
1675779769010,82
1675779769012,-40
1675779769018,150
1675779769021,-40
1675779769152,-550
1675779769187,82
1675779769190,-40
1675779769194,150
1675779769195,-40
1675779769330,-545
1675779769364,82
1675779769366,-40
1675779769373,150
1675779769376,-40
1675779769509,-547
1675779769543,82
1675779769544,-40
1675779769548,151
1675779769550,-40
1675779769688,-540
1675779769722,82
1675779769723,-40
1675779769731,151
1675779769733,-40
1675779769864,-541
1675779769897,82
1675779769899,-40
1675779769906,150
1675779769909,-40
1675779770038,-546
1675779770072,82
1675779770074,-40
1675779770081,151
1675779770083,-40
1675779770218,-548
1675779770251,82
1675779770253,-40
1675779770261,150
1675779770264,-40
1675779770398,-542
1675779770432,82
1675779770434,-40
1675779770441,150
1675779770442,-40
1675779770574,-540
1675779770607,82
1675779770609,-40
1675779770615,150
1675779770617,-40
1675779770753,-540
1675779770787,82
1675779770789,-40
1675779770794,151
1675779770796,-40
1675779770929,-544
1675779770963,82
1675779770965,-40
1675779770973,150
1675779770975,-40
1675779771101,-547
1675779771137,82
1675779771140,-40
1675779771148,150
1675779771151,-40
1675779771283,-544
1675779771317,82
1675779771319,-40
1675779771325,150
1675779771327,-40
1675779771460,-552
1675779771493,82
1675779771497,-40
1675779771503,149
1675779771506,-40
1675779771667,-552
1675779771700,82
1675779771702,-40
1675779771709,150
1675779771711,-40
1675779771844,-553
