arrival_time,packet_size
1673702556468,-140
1673702556504,72
1673702556513,-104
1673702556554,180
1673702556557,-120
1673702556590,72
1673702556703,-432
1673702556742,264
1673702556761,1420
1673702556761,1200
1673702556765,-92
1673702556772,1420
1673702556772,1200
1673702556785,1420
1673702556785,1200
1673702556786,-92
1673702556794,720
1673702556807,-124
1673702556874,-436
1673702556905,264
1673702556930,1420
1673702556930,1200
1673702556934,-92
1673702556942,1420
1673702556942,1200
1673702556952,1241
1673702556957,-124
1673702557309,-436
1673702557345,264
1673702557357,1420
1673702557357,1200
1673702557367,1420
1673702557367,1200
1673702557376,-156
1673702557380,1420
1673702557380,1200
1673702557391,1420
1673702557391,720
1673702557397,-156
1673702558052,-436
1673702558100,264
1673702558114,1420
1673702558114,1420
1673702558114,341
1673702558124,1420
1673702558124,1420
1673702558124,341
1673702558131,-220
1673702558137,1420
1673702558137,1420
1673702558137,341
1673702558145,1420
1673702558146,577
1673702558154,-188
1673702559405,-436
1673702559464,264
1673702559471,1420
1673702559471,1420
1673702559471,341
1673702559480,1420
1673702559480,1420
1673702559480,341
1673702559490,1420
1673702559491,1420
1673702559491,341
1673702559494,-252
1673702559497,1322
1673702559514,-124
1673702560708,-128
1673702560744,72
1673702564123,-432
