arrival_time,packet_size
1675781188951,-113
1675781188969,241
1675781188971,-257
1675781188987,225
1675781188988,241
1675781188992,65
1675781188997,-65
1675781189057,-65
1675781189070,-65
1675781189073,1361
1675781189073,1361
1675781189073,1361
1675781189073,1361
1675781189073,1361
1675781189075,1361
1675781189075,1361
1675781189077,1361
1675781189078,-65
1675781189079,65
1675781189084,-65
1675781189084,-65
1675781189086,1361
1675781189087,1361
1675781189087,1361
1675781189093,65
1675781189096,1361
1675781189096,1361
1675781189096,1361
1675781189096,1361
1675781189096,1361
1675781189097,-65
1675781189101,1361
1675781189101,1361
1675781189101,1361
1675781189102,1361
1675781189102,1361
1675781189102,1361
1675781189103,-65
1675781189103,-65
1675781189103,1361
1675781189104,1361
1675781189106,65
1675781189106,-65
1675781189115,-65
1675781189119,1361
1675781189119,1361
1675781189119,1361
1675781189119,1361
1675781189119,1361
1675781189119,1361
1675781189119,1361
1675781189122,-65
1675781189123,1361
1675781189124,65
1675781189128,-65
1675781189132,-65
1675781189140,-65
1675781189151,-65
1675781189152,1361
1675781189152,1361
1675781189152,1361
1675781189152,1361
1675781189152,1361
1675781189152,1361
1675781189154,1361
1675781189154,1361
1675781189154,65
1675781189157,-65
1675781189160,1361
1675781189160,1361
1675781189160,1361
1675781189160,1361
1675781189160,1361
1675781189160,1361
1675781189160,1361
1675781189163,1361
1675781189165,65
1675781189165,-65
1675781189165,-65
1675781189167,1361
1675781189167,1361
1675781189167,1361
1675781189167,1361
1675781189169,1361
1675781189169,1361
1675781189169,1361
1675781189169,1361
1675781189173,65
1675781189174,-65
1675781189174,-65
1675781189176,-65
1675781189188,-65
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189191,1361
1675781189196,65
1675781189197,-65
1675781189202,-65
1675781189205,1361
1675781189211,65
1675781189213,-65
1675781189223,-65
1675781189236,-65
1675781189240,1361
1675781189240,1361
1675781189240,1361
1675781189240,1361
1675781189240,1361
1675781189244,65
1675781189245,-65
1675781189247,-65
1675781189253,1361
1675781189253,1361
1675781189253,1361
1675781189253,1361
1675781189253,1361
1675781189258,-65
1675781189258,65
1675781189261,-65
1675781189262,1361
1675781189262,1361
1675781189262,1361
1675781189262,1361
1675781189262,1361
1675781189268,65
1675781189270,-65
1675781189270,-65
1675781189276,1361
1675781189276,1361
1675781189276,1361
1675781189276,1361
1675781189276,1361
1675781189281,65
1675781189286,1361
1675781189286,1361
1675781189286,1361
1675781189286,1361
1675781189286,1361
1675781189287,-65
1675781189287,-65
1675781189292,65
1675781189296,-65
1675781189296,-65
1675781189304,1361
1675781189304,1361
1675781189304,1361
1675781189304,1361
1675781189304,1361
1675781189306,-65
1675781189310,65
1675781189311,-65
1675781189313,1361
1675781189313,1361
1675781189313,1361
1675781189313,1361
1675781189314,1361
1675781189319,65
1675781189321,-65
1675781189322,1361
1675781189322,1361
1675781189322,1361
1675781189322,1361
1675781189323,1361
1675781189326,65
1675781189329,-65
1675781189334,-65
1675781189339,-65
1675781189346,1361
1675781189346,1361
1675781189346,1361
1675781189346,1361
1675781189346,1361
1675781189351,65
1675781189354,-65
1675781189354,-65
1675781189355,1361
1675781189355,1361
1675781189355,1361
1675781189356,1361
1675781189356,1361
1675781189360,65
1675781189362,-65
1675781189363,-65
1675781189374,1361
1675781189374,1361
1675781189374,1361
1675781189375,1361
1675781189375,1361
1675781189376,65
1675781189377,1361
1675781189377,1361
1675781189377,1361
1675781189377,1361
1675781189379,1361
1675781189382,-65
1675781189383,65
1675781189384,-65
1675781189385,-65
1675781189401,1361
1675781189401,1361
1675781189401,1361
1675781189401,1361
1675781189406,65
1675781189408,-65
1675781189417,-65
