arrival_time,packet_size
1675780644548,-60
1675780644553,52
1675780644556,-40
1675780644562,-557
1675780644568,40
1675780644568,190
1675780644569,-40
1675780644571,-91
1675780644615,40
1675780644616,-601
1675780644621,40
1675780644622,102
1675780644622,82
1675780644622,78
1675780644626,-40
1675780644628,-78
1675780644647,400
1675780644647,1480
1675780644647,1480
1675780644647,232
1675780644649,223
1675780644649,1124
1675780644649,-40
1675780644649,-40
1675780644650,-40
1675780647533,-252
1675780647565,222
1675780647565,1480
1675780647565,1012
1675780647570,-250
1675780647570,-40
1675780647570,41
1675780647573,-52
1675780647602,221
1675780647602,862
1675780647603,-40
1675780647603,-40
1675780748683,-71
