arrival_time,packet_size
1675773683575,-1120
1675773683577,-1480
1675773683577,-1480
1675773683577,-1480
1675773683577,-152
1675773683582,40
1675773683583,40
1675773683610,152
1675773683610,1224
1675773683610,64
1675773683612,-40
1675773683749,184
1675773683749,1480
1675773683749,1208
1675773683749,64
1675773683751,-40
1675773683751,-40
1675773684601,-1480
1675773684602,-272
1675773684608,40
1675773684614,184
1675773684614,168
1675773684614,64
1675773684617,-40
1675773684856,-1480
1675773684856,-1480
1675773684856,-656
1675773684863,40
1675773684904,40
1675773684958,152
1675773684958,120
1675773684958,64
1675773684978,64
1675773685153,-52
1675773690643,-1480
