arrival_time,packet_size
1677636031004,-60
1677636031032,60
1677636031035,-40
1677636031037,-557
1677636031067,40
1677636031068,1492
1677636031068,1492
1677636031068,1232
1677636031068,536
1677636031070,-40
1677636031071,-40
1677636031071,-40
1677636031071,-40
1677636031078,536
1677636031080,-52
1677636031083,-133
1677636031112,314
1677636031112,109
1677636031133,109
1677636031310,-52
1677636031347,-93
1677636031416,40
1677636031603,-1492
1677636031632,-498
1677636031647,40
1677636031647,91
1677636031647,1492
1677636031647,182
1677636031648,78
1677636031662,-40
1677636031676,82
1677636031676,1492
1677636031676,182
1677636031676,78
1677636031692,-507
1677636031692,-40
1677636031712,-1492
1677636031721,82
1677636031728,262
1677636031741,95
1677636031749,151
1677636031750,150
1677636031801,150
1677636031933,-884
1677636031933,-52
1677636031963,82
1677636031977,-40
1677636031977,-1119
1677636031978,150
1677636032008,82
1677636032013,-40
1677636032014,151
1677636032106,-495
1677636032137,82
1677636032142,-499
1677636032143,262
1677636032179,82
1677636032179,262
1677636032181,-579
1677636032218,82
1677636032221,261
1677636032221,-40
1677636032258,-987
1677636032289,82
1677636032290,-516
1677636032296,261
1677636032320,82
1677636032326,-1492
1677636032326,-783
1677636032328,261
1677636032361,82
1677636032361,82
1677636032362,262
1677636032363,150
1677636032364,-40
1677636032364,-471
1677636032380,-40
1677636032395,82
1677636032410,261
1677636032425,-40
1677636032425,-638
1677636032468,82
1677636032468,260
1677636032469,-40
1677636032486,-1026
1677636032515,82
1677636032533,150
1677636032534,-40
1677636032679,-996
1677636032708,82
1677636032714,150
1677636032716,-40
1677636032959,-557
1677636032989,82
1677636033001,261
1677636033003,-40
1677636033199,-951
1677636033229,82
1677636033234,151
1677636033235,-40
1677636033420,-525
1677636033450,82
1677636033452,262
1677636033453,-40
1677636033457,-699
1677636033486,82
1677636033491,262
1677636033493,-40
1677636033511,-490
1677636033542,82
1677636033544,261
1677636033548,-40
1677636033637,-1076
1677636033668,82
1677636033677,151
1677636033679,-40
1677636033850,-610
1677636033897,82
1677636033903,262
1677636033912,-522
1677636033955,-40
1677636033975,82
1677636033995,261
1677636033996,-40
1677636034021,-40
1677636034022,-82
1677636034047,-1492
1677636034085,40
1677636034093,-728
1677636034137,95
1677636034138,150
1677636034138,261
1677636034153,-1123
1677636034153,-40
1677636034197,82
1677636034197,261
1677636034213,-1032
1677636034239,-1492
1677636034246,82
1677636034252,262
1677636034253,-510
1677636034290,40
1677636034291,82
1677636034292,-40
1677636034303,150
1677636034361,-40
1677636034387,-1492
1677636034387,-1492
1677636034387,-73
1677636034483,82
1677636034484,151
1677636034512,-510
1677636034561,-40
1677636034561,-40
1677636034567,-1492
1677636034617,151
1677636034618,82
1677636034618,261
1677636034620,-52
1677636034620,-60
1677636034649,40
1677636034650,-1164
1677636034651,82
1677636034657,151
1677636034668,-40
1677636034680,82
1677636034682,-1119
1677636034688,262
1677636034725,82
1677636034726,262
1677636034729,-40
1677636034776,-40
1677636034837,-996
1677636034866,82
1677636034867,-40
1677636034882,262
1677636034883,-40
1677636034887,-483
1677636034932,82
1677636034932,261
1677636034945,-1148
1677636034977,82
1677636034977,-40
1677636034987,151
1677636034987,-40
1677636034989,-40
1677636035004,-1040
1677636035034,82
1677636035040,261
1677636035043,-40
1677636035045,-483
1677636035074,82
1677636035075,-802
1677636035078,262
1677636035105,82
1677636035107,-40
1677636035108,150
1677636035156,-40
1677636035257,-1011
1677636035290,82
1677636035292,-577
1677636035295,261
1677636035324,82
1677636035326,-40
1677636035333,150
1677636035380,-40
1677636037602,-71
