arrival_time,packet_size
1673702073477,-60
1673702073484,48
1673702073486,-40
1673702073487,-557
1673702073494,40
1673702073495,1480
1673702073495,1480
1673702073495,1456
1673702073497,-40
1673702073497,-40
1673702073497,-40
1673702073499,-166
1673702073500,-139
1673702073500,-1480
1673702073501,-352
1673702073505,40
1673702073505,298
1673702073505,40
1673702073506,40
1673702073550,-40
1673702073557,586
1673702073559,-40
1673702073563,-78
1673702073569,40
1673702073749,-610
1673702073756,40
1673702073756,440
1673702073799,-40
1673702073805,78
1673702073807,-40
1673702074116,-1480
1673702074116,-1480
1673702074116,-1480
1673702074116,-371
1673702074123,40
1673702074123,40
1673702074123,440
1673702074125,-40
1673702074131,78
1673702074132,-40
1673702074209,-519
1673702074226,440
1673702074227,-40
1673702074234,78
1673702074235,-40
1673702074835,-641
1673702074841,440
1673702074843,-40
1673702074849,78
1673702074851,-40
1673702097116,-40
